	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	S1	s20	S2	s3	s4	s5	s6	s7	s8	s9	cov_bin
22	42.0	5.0	16.0	14.0	41.0	27.0	42.0	14.0	17.0	30.0	10.0	32.0	12.0	18.0	19.0	8.0	21.0	17.0	22.0	16.0	22
23	51.0	12.0	11.0	14.0	22.0	16.0	34.0	22.0	18.0	36.0	9.0	26.0	28.0	21.0	21.0	19.0	33.0	20.0	41.0	17.0	23
24	62.0	8.0	22.0	20.0	21.0	26.0	9.0	13.0	31.0	36.0	14.0	21.0	29.0	29.0	7.0	10.0	31.0	17.0	29.0	12.0	24
25	95.0	19.0	26.0	28.0	21.0	28.0	18.0	7.0	20.0	76.0	14.0	12.0	51.0	13.0	20.0	32.0	29.0	10.0	36.0	18.0	25
26	100.0	20.0	13.0	21.0	43.0	41.0	22.0	24.0	2.0	49.0	8.0	35.0	67.0	14.0	21.0	22.0	14.0	9.0	55.0	11.0	26
27	93.0	27.0	19.0	33.0	37.0	43.0	45.0	17.0	17.0	89.0	11.0	26.0	78.0	13.0	16.0	22.0	23.0	19.0	45.0	22.0	27
28	109.0	22.0	62.0	65.0	41.0	47.0	45.0	25.0	5.0	90.0	18.0	17.0	123.0	36.0	31.0	59.0	17.0	8.0	51.0	23.0	28
29	98.0	46.0	33.0	66.0	31.0	89.0	68.0	32.0	39.0	132.0	12.0	42.0	193.0	49.0	25.0	65.0	45.0	17.0	31.0	17.0	29
30	105.0	90.0	39.0	105.0	53.0	90.0	71.0	26.0	27.0	207.0	25.0	53.0	214.0	64.0	20.0	107.0	80.0	23.0	76.0	16.0	30
31	93.0	96.0	41.0	129.0	84.0	61.0	75.0	56.0	39.0	245.0	14.0	76.0	281.0	64.0	21.0	128.0	79.0	6.0	86.0	18.0	31
32	94.0	76.0	76.0	106.0	128.0	95.0	114.0	41.0	52.0	298.0	6.0	57.0	295.0	73.0	55.0	224.0	77.0	23.0	139.0	29.0	32
33	113.0	116.0	102.0	111.0	138.0	122.0	177.0	62.0	25.0	303.0	33.0	67.0	267.0	78.0	63.0	248.0	140.0	14.0	164.0	45.0	33
34	88.0	146.0	76.0	145.0	166.0	80.0	137.0	55.0	41.0	281.0	18.0	105.0	294.0	74.0	115.0	208.0	153.0	18.0	212.0	54.0	34
35	85.0	144.0	169.0	146.0	183.0	141.0	173.0	83.0	73.0	229.0	20.0	105.0	253.0	99.0	164.0	248.0	134.0	24.0	165.0	58.0	35
36	107.0	200.0	175.0	144.0	256.0	116.0	109.0	92.0	126.0	172.0	22.0	135.0	209.0	131.0	130.0	232.0	136.0	37.0	263.0	92.0	36
37	157.0	194.0	217.0	155.0	213.0	143.0	116.0	62.0	111.0	128.0	37.0	159.0	243.0	102.0	165.0	228.0	151.0	32.0	237.0	114.0	37
38	155.0	211.0	295.0	135.0	242.0	151.0	145.0	85.0	101.0	183.0	52.0	198.0	254.0	97.0	196.0	166.0	127.0	54.0	204.0	135.0	38
39	181.0	205.0	273.0	166.0	211.0	175.0	142.0	119.0	94.0	232.0	56.0	179.0	273.0	148.0	264.0	178.0	157.0	72.0	182.0	131.0	39
40	175.0	236.0	284.0	150.0	226.0	219.0	184.0	135.0	72.0	245.0	70.0	250.0	237.0	144.0	333.0	217.0	159.0	110.0	201.0	134.0	40
41	166.0	269.0	214.0	209.0	228.0	251.0	237.0	194.0	81.0	237.0	112.0	281.0	195.0	179.0	270.0	182.0	187.0	94.0	301.0	183.0	41
42	133.0	274.0	183.0	271.0	265.0	252.0	219.0	204.0	90.0	180.0	98.0	296.0	226.0	183.0	215.0	213.0	234.0	79.0	302.0	202.0	42
43	105.0	244.0	149.0	193.0	271.0	193.0	218.0	195.0	133.0	189.0	110.0	257.0	179.0	252.0	334.0	245.0	197.0	168.0	173.0	183.0	43
44	186.0	242.0	176.0	253.0	236.0	205.0	209.0	170.0	154.0	180.0	118.0	266.0	100.0	281.0	297.0	221.0	204.0	178.0	185.0	161.0	44
45	152.0	234.0	208.0	283.0	221.0	225.0	218.0	184.0	112.0	183.0	117.0	221.0	59.0	278.0	245.0	249.0	199.0	210.0	140.0	157.0	45
46	110.0	300.0	182.0	212.0	194.0	216.0	233.0	196.0	191.0	127.0	161.0	228.0	99.0	257.0	227.0	209.0	211.0	228.0	133.0	153.0	46
47	151.0	253.0	178.0	186.0	151.0	198.0	175.0	162.0	183.0	115.0	175.0	263.0	68.0	198.0	225.0	192.0	235.0	236.0	162.0	151.0	47
48	153.0	154.0	179.0	185.0	93.0	180.0	185.0	205.0	198.0	79.0	198.0	236.0	70.0	204.0	160.0	180.0	192.0	291.0	136.0	217.0	48
49	133.0	123.0	149.0	222.0	95.0	166.0	194.0	195.0	163.0	39.0	191.0	195.0	41.0	175.0	116.0	120.0	145.0	323.0	111.0	179.0	49
50	161.0	116.0	147.0	169.0	106.0	117.0	128.0	169.0	133.0	35.0	191.0	146.0	19.0	176.0	88.0	89.0	143.0	328.0	116.0	145.0	50
51	164.0	81.0	153.0	164.0	74.0	153.0	116.0	131.0	143.0	18.0	212.0	133.0	12.0	153.0	105.0	56.0	141.0	364.0	65.0	132.0	51
52	139.0	49.0	141.0	113.0	93.0	146.0	62.0	161.0	142.0	29.0	220.0	119.0	15.0	130.0	81.0	64.0	126.0	241.0	98.0	170.0	52
53	144.0	46.0	109.0	76.0	112.0	125.0	96.0	190.0	190.0	26.0	175.0	90.0	21.0	110.0	95.0	28.0	91.0	207.0	58.0	160.0	53
54	109.0	60.0	80.0	60.0	114.0	121.0	97.0	182.0	172.0	36.0	192.0	75.0	15.0	127.0	72.0	27.0	105.0	220.0	85.0	157.0	54
55	107.0	95.0	81.0	70.0	86.0	91.0	98.0	130.0	184.0	36.0	142.0	77.0	14.0	105.0	94.0	31.0	87.0	189.0	109.0	110.0	55
56	82.0	64.0	84.0	83.0	49.0	72.0	70.0	101.0	155.0	26.0	175.0	50.0	13.0	94.0	120.0	27.0	94.0	128.0	77.0	153.0	56
57	128.0	59.0	71.0	73.0	53.0	65.0	72.0	110.0	158.0	22.0	145.0	40.0	2.0	96.0	76.0	29.0	103.0	93.0	55.0	161.0	57
58	102.0	78.0	64.0	66.0	46.0	31.0	78.0	75.0	146.0	11.0	163.0	35.0	3.0	62.0	54.0	23.0	73.0	90.0	51.0	153.0	58
59	69.0	41.0	64.0	43.0	28.0	21.0	52.0	75.0	142.0	4.0	175.0	24.0	3.0	64.0	46.0	28.0	93.0	60.0	25.0	160.0	59
60	55.0	19.0	56.0	13.0	22.0	12.0	43.0	106.0	121.0	5.0	190.0	15.0	2.0	95.0	50.0	31.0	73.0	61.0	19.0	139.0	60
61	45.0	9.0	52.0	13.0	19.0	23.0	26.0	144.0	142.0	12.0	167.0	26.0	1.0	86.0	18.0	9.0	40.0	56.0	17.0	82.0	61
62	26.0	7.0	21.0	8.0	14.0	17.0	32.0	103.0	142.0	7.0	132.0	17.0	4.0	29.0	17.0	4.0	13.0	64.0	9.0	77.0	62
63	15.0	7.0	17.0	10.0	10.0	11.0	30.0	77.0	103.0	0.0	107.0	16.0	4.0	32.0	10.0	4.0	18.0	32.0	6.0	55.0	63
64	12.0	7.0	22.0	4.0	4.0	39.0	17.0	79.0	56.0	0.0	78.0	3.0	4.0	43.0	15.0	5.0	16.0	43.0	12.0	48.0	64
65	4.0	8.0	16.0	6.0	13.0	26.0	16.0	73.0	50.0	0.0	78.0	1.0	5.0	17.0	4.0	3.0	8.0	34.0	10.0	50.0	65
66	0.0	6.0	12.0	2.0	9.0	25.0	4.0	49.0	53.0	0.0	73.0	0.0	4.0	15.0	1.0	3.0	11.0	25.0	6.0	59.0	66
67	4.0	0.0	9.0	7.0	1.0	8.0	20.0	24.0	44.0	0.0	92.0	3.0	4.0	7.0	4.0	5.0	13.0	14.0	2.0	33.0	67
68	1.0	2.0	4.0	3.0	0.0	2.0	15.0	17.0	43.0	0.0	73.0	1.0	18.0	4.0	0.0	9.0	4.0	13.0	9.0	39.0	68
69	3.0	0.0	0.0	6.0	0.0	4.0	4.0	22.0	67.0	0.0	44.0	3.0	15.0	0.0	4.0	13.0	3.0	30.0	3.0	36.0	69
70	0.0	8.0	0.0	1.0	0.0	5.0	9.0	16.0	42.0	0.0	31.0	0.0	6.0	1.0	3.0	8.0	6.0	15.0	4.0	32.0	70
71	1.0	4.0	0.0	5.0	0.0	4.0	6.0	31.0	22.0	0.0	25.0	0.0	7.0	0.0	3.0	11.0	2.0	10.0	2.0	30.0	71
72	8.0	1.0	0.0	1.0	0.0	5.0	0.0	24.0	29.0	0.0	25.0	0.0	3.0	3.0	10.0	0.0	2.0	6.0	1.0	23.0	72
73	2.0	4.0	0.0	0.0	0.0	3.0	1.0	7.0	8.0	0.0	26.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	5.0	18.0	73
74	5.0	3.0	0.0	0.0	0.0	6.0	0.0	10.0	10.0	0.0	22.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	12.0	74
75	10.0	3.0	0.0	1.0	0.0	1.0	0.0	5.0	4.0	0.0	20.0	0.0	0.0	0.0	5.0	0.0	5.0	2.0	1.0	3.0	75
76	8.0	6.0	0.0	0.0	0.0	0.0	0.0	7.0	2.0	0.0	10.0	0.0	0.0	1.0	4.0	0.0	1.0	1.0	0.0	0.0	76
77	6.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	11.0	0.0	0.0	2.0	6.0	0.0	0.0	1.0	1.0	0.0	77
78	1.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	4.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	78
79	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	79
80	0.0	3.0	0.0	0.0	0.0	1.0	0.0	4.0	2.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	7.0	0.0	80
81	4.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	5.0	0.0	6.0	0.0	0.0	1.0	1.0	0.0	9.0	1.0	8.0	0.0	81
82	0.0	3.0	0.0	0.0	0.0	10.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	6.0	1.0	4.0	0.0	82
83	1.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	83
84	0.0	4.0	0.0	0.0	0.0	3.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	84
85	1.0	11.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	85
86	0.0	13.0	0.0	1.0	0.0	0.0	0.0	4.0	6.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	0.0	86
87	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	7.0	0.0	87
88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	13.0	0.0	88
89	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	3.0	0.0	2.0	1.0	0.0	0.0	5.0	1.0	7.0	0.0	89
90	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	3.0	1.0	1.0	0.0	90
91	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	6.0	4.0	0.0	91
92	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	2.0	1.0	0.0	92
93	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	93
94	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	94
95	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	0.0	0.0	95
96	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	7.0	3.0	0.0	0.0	96
97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	6.0	2.0	0.0	0.0	97
98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	3.0	1.0	0.0	0.0	98
99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	3.0	0.0	0.0	99
100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	4.0	0.0	0.0	2.0	6.0	9.0	13.0	2.0	0.0	0.0	100
101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	7.0	0.0	0.0	1.0	1.0	0.0	6.0	1.0	0.0	0.0	101
102	0.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	102
103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0	0.0	2.0	10.0	0.0	0.0	12.0	0.0	0.0	103
104	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	4.0	2.0	1.0	0.0	1.0	0.0	0.0	104
105	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	105
106	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	0.0	0.0	106
107	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	107
108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	108
109	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	109
110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	11.0	0.0	0.0	110
111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	111
112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	112
113	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	113
114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114
115	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115
116	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116
117	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	117
118	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118
119	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119
120	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120
121	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121
122	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	122
123	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	123
124	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124
125	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125
126	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126
127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	127
128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	128
129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129
130	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130
131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131
132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	132
133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	133
134	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	134
135	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135
136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	136
137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	137
138	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	138
139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	139
140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	140
141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	141
142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142
143	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	2.0	1.0	143
144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	144
145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0	0.0	145
146	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	146
147	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	147
148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	148
149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	149
150	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	150
151	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	12.0	0.0	0.0	0.0	0.0	151
152	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152
153	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153
154	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154
155	0.0	1.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155
156	0.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	156
157	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157
158	0.0	0.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	158
159	0.0	2.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159
160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	160
161	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161
162	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162
163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163
164	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	164
