CHROM	POS	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	S1	s20	S2	s3	s4	s5	s6	s7	s8	s9	
NC_031768.1	60	30	31	38	31	22	22	25	36	38	22	46	27	33	33	30	31	25	36	26	38
NC_031768.1	61	31	31	38	31	22	22	25	39	38	23	46	27	33	33	30	31	25	36	26	39
NC_031768.1	62	31	31	39	31	22	22	25	41	39	23	46	27	34	33	30	31	25	36	26	40
NC_031768.1	63	31	32	39	31	22	22	25	41	39	23	46	29	34	33	31	31	25	36	26	43
NC_031768.1	64	31	32	39	31	22	22	25	41	39	23	46	29	34	33	31	31	25	37	26	43
NC_031768.1	65	31	33	39	31	22	23	25	41	39	24	46	29	35	33	34	31	25	38	26	43
NC_031768.1	66	31	33	40	31	22	24	25	41	39	24	46	29	35	33	34	31	25	38	26	44
NC_031768.1	67	32	33	41	31	22	25	25	41	39	24	48	29	35	33	34	31	28	39	27	44
NC_031768.1	68	33	33	41	31	22	25	26	41	39	24	49	29	35	33	34	32	28	39	27	44
NC_031768.1	69	33	33	41	31	22	25	27	41	39	24	49	30	35	33	34	32	28	39	28	44
NC_031768.1	70	33	33	41	31	22	25	27	42	40	24	50	30	35	33	34	32	28	40	28	45
NC_031768.1	71	34	33	43	31	22	25	27	44	40	24	50	31	35	35	36	33	27	41	28	45
NC_031768.1	72	35	34	44	31	23	25	27	44	40	24	50	31	35	35	37	33	27	43	28	45
NC_031768.1	73	37	34	45	31	23	25	28	45	41	25	51	31	36	35	38	33	27	44	28	45
NC_031768.1	74	37	35	45	31	23	26	28	45	41	25	53	31	37	35	39	33	28	44	28	46
NC_031768.1	75	38	36	46	31	23	26	28	46	41	25	53	32	37	35	39	33	28	45	28	47
NC_031768.1	76	38	36	46	31	23	26	28	46	41	25	53	32	37	35	39	33	28	45	28	48
NC_031768.1	77	38	36	46	31	23	26	28	46	42	25	53	32	37	35	39	33	29	45	28	48
NC_031768.1	78	38	36	46	31	23	26	28	46	43	25	53	32	37	35	39	33	29	45	28	48
NC_031768.1	79	39	36	46	31	23	26	28	46	43	25	53	33	37	35	39	33	29	45	28	48
NC_031768.1	80	39	36	48	31	23	26	27	46	43	25	53	34	37	35	39	33	29	45	28	50
NC_031768.1	81	39	36	48	32	23	26	27	46	43	25	54	34	37	35	39	34	29	45	28	50
NC_031768.1	82	39	36	48	32	24	26	27	46	43	25	55	34	39	35	39	34	29	45	28	50
NC_031768.1	83	39	36	48	32	24	26	27	46	43	25	55	35	39	20	40	34	30	45	28	50
NC_031768.1	84	39	36	48	32	24	26	27	47	43	25	54	35	39	20	40	34	31	45	28	50
NC_031768.1	85	39	36	48	32	24	28	27	48	44	25	54	36	40	20	40	35	32	48	29	52
NC_031768.1	86	39	36	49	32	24	28	27	48	44	27	54	37	40	35	40	35	32	49	30	52
NC_031768.1	87	39	37	49	32	24	29	27	49	44	28	54	37	40	35	40	35	32	49	30	52
NC_031768.1	88	39	37	50	32	25	29	27	51	44	28	54	37	40	35	40	36	33	49	30	52
NC_031768.1	89	39	37	50	32	25	30	27	51	44	28	54	37	40	35	40	36	33	49	30	53
NC_031768.1	90	40	37	50	33	26	31	27	52	44	28	54	37	40	37	41	38	33	49	30	53
NC_031768.1	91	41	37	50	33	26	31	27	53	46	28	54	38	41	38	41	38	33	49	30	54
NC_031768.1	92	41	37	51	33	27	31	27	53	46	28	54	38	41	38	41	38	34	49	31	55
NC_031768.1	93	41	37	51	33	27	31	27	53	46	28	54	38	41	38	41	38	34	51	32	56
NC_031768.1	94	41	38	51	33	29	32	27	53	46	28	54	39	42	38	41	39	34	51	32	56
NC_031768.1	95	41	40	51	34	29	32	27	54	46	28	54	39	43	37	41	39	34	51	32	56
NC_031768.1	96	42	42	51	34	29	32	28	54	46	29	54	39	43	37	41	39	34	51	33	56
NC_031768.1	97	42	42	51	35	29	32	28	55	46	29	54	39	43	37	41	39	34	51	34	56
NC_031768.1	98	42	42	51	36	29	32	28	55	47	29	54	39	43	37	41	39	34	51	34	56
NC_031768.1	99	42	42	52	36	29	32	28	55	47	29	54	40	43	38	41	39	34	51	35	56
NC_031768.1	100	42	43	52	36	30	32	28	55	47	29	55	40	43	39	41	39	34	51	35	56
NC_031768.1	101	43	43	52	36	30	34	28	56	47	30	55	40	43	40	41	39	35	53	35	57
NC_031768.1	102	44	43	52	36	30	34	28	57	48	30	55	40	44	41	41	39	35	53	36	57
NC_031768.1	103	46	43	52	37	30	34	28	57	48	30	57	40	45	41	41	39	36	53	36	57
NC_031768.1	104	46	43	52	37	30	34	29	57	49	30	58	41	46	41	41	40	36	53	36	58
NC_031768.1	105	46	43	53	37	31	34	29	59	49	30	58	41	46	41	41	41	39	53	36	58
NC_031768.1	106	47	43	53	37	32	35	29	59	50	30	58	42	46	41	42	41	39	54	36	57
NC_031768.1	107	48	44	53	37	32	35	29	61	50	32	59	44	46	41	43	42	41	55	36	57
NC_031768.1	108	48	44	52	38	32	34	29	61	50	32	59	45	46	43	41	43	41	55	36	57
NC_031768.1	109	48	44	52	39	33	33	29	61	50	32	60	45	46	44	41	43	41	55	36	57
NC_031768.1	110	49	44	54	39	33	34	30	62	50	32	59	45	48	44	41	43	43	54	36	57
NC_031768.1	111	49	44	54	39	32	34	31	61	51	32	59	44	47	44	41	43	43	54	36	57
NC_031768.1	112	49	44	53	39	32	34	31	61	50	32	59	43	47	44	41	43	43	55	36	57
NC_031768.1	113	49	44	53	39	32	34	31	61	50	32	58	42	47	44	41	44	43	54	36	56
NC_031768.1	114	49	45	53	39	32	35	31	61	50	31	57	44	47	44	41	44	43	54	36	56
NC_031768.1	115	50	45	53	39	34	34	31	62	50	31	59	44	46	44	41	44	44	53	36	56
NC_031768.1	116	50	45	53	39	34	33	33	62	51	31	59	43	46	44	44	44	45	53	36	56
NC_031768.1	117	50	45	53	39	34	33	35	62	51	31	59	44	46	44	44	43	46	53	37	55
NC_031768.1	118	50	45	53	39	34	35	36	62	51	31	60	44	46	44	45	43	47	53	37	55
NC_031768.1	119	50	44	53	39	34	35	36	62	51	31	60	45	46	43	47	43	47	55	37	54
NC_031768.1	120	50	45	53	39	34	35	36	63	51	31	60	45	45	44	48	43	48	55	38	55
NC_031768.1	121	50	45	54	39	35	35	38	63	52	31	59	45	45	44	48	43	48	55	38	55
NC_031768.1	122	50	47	53	39	35	35	39	63	53	31	58	45	45	44	47	43	48	54	38	55
NC_031768.1	123	49	47	54	40	35	35	39	63	53	31	60	46	45	44	48	43	48	53	38	55
NC_031768.1	124	49	47	52	40	35	35	39	63	53	31	59	46	45	44	48	43	47	53	39	54
NC_031768.1	125	48	50	52	40	35	35	39	64	53	31	59	46	45	44	48	43	47	53	40	54
NC_031768.1	126	49	50	52	39	34	35	39	65	54	31	59	45	47	43	47	43	47	54	41	55
NC_031768.1	127	48	50	52	41	35	35	39	66	54	32	59	44	45	43	48	43	47	55	42	55
NC_031768.1	128	48	49	51	41	34	35	40	65	52	32	60	44	45	43	47	43	47	55	42	56
NC_031768.1	129	47	49	52	41	33	35	41	65	52	33	60	44	45	43	48	43	48	54	42	56
NC_031768.1	130	47	49	54	41	32	35	41	65	52	33	58	44	45	43	48	44	48	54	43	57
NC_031768.1	131	47	49	54	41	32	35	41	64	51	33	59	43	44	45	48	44	47	54	43	59
NC_031768.1	132	46	49	55	42	33	35	41	64	52	33	59	43	44	45	49	44	47	54	43	59
NC_031768.1	133	46	49	55	41	33	35	41	64	52	32	58	41	43	44	49	45	47	54	43	61
NC_031768.1	134	46	49	55	40	33	35	40	63	50	32	57	41	43	44	49	45	46	54	43	60
NC_031768.1	135	47	49	55	39	33	35	40	64	50	33	57	41	44	44	49	45	47	54	43	60
NC_031768.1	136	47	49	56	40	34	35	40	64	49	33	56	40	42	44	49	46	47	54	43	61
NC_031768.1	137	47	50	55	40	36	34	40	63	49	34	55	41	41	44	49	46	48	54	43	60
NC_031768.1	138	47	51	55	40	36	33	40	62	49	34	54	40	42	44	49	46	48	53	44	61
NC_031768.1	139	47	50	56	40	36	33	40	62	49	33	54	39	42	43	49	45	47	54	44	61
NC_031768.1	140	47	49	54	40	37	33	40	62	49	32	54	39	42	45	48	46	48	54	44	60
NC_031768.1	141	48	49	54	41	37	34	40	62	48	32	56	38	42	46	49	46	48	54	44	61
NC_031768.1	142	48	49	54	41	38	35	40	62	48	33	56	38	42	46	49	46	47	54	43	60
NC_031768.1	143	48	48	53	41	38	36	38	63	48	33	56	38	43	44	48	46	47	52	44	60
NC_031768.1	144	48	48	53	41	39	36	38	63	49	33	56	38	44	44	48	46	47	51	44	60
NC_031768.1	145	48	47	53	42	38	36	38	63	49	33	58	38	43	43	49	46	47	51	44	60
NC_031768.1	146	48	47	54	42	38	36	38	64	49	33	59	38	43	44	50	45	48	52	44	60
NC_031768.1	147	48	47	55	42	38	35	38	63	50	33	59	38	43	44	50	44	48	52	45	59
NC_031768.1	148	48	46	55	41	39	35	38	60	50	33	61	38	43	44	50	47	47	54	46	58
NC_031768.1	149	50	46	54	41	39	36	38	58	50	33	62	38	42	44	50	47	46	53	46	58
NC_031768.1	150	50	46	54	42	39	37	37	58	49	33	62	37	41	44	50	47	46	54	46	58
NC_031768.1	151	49	46	55	41	40	37	38	57	48	32	61	37	41	44	50	46	46	54	46	58
NC_031768.1	152	49	47	55	42	40	37	39	57	49	32	60	36	41	45	50	46	46	54	46	57
NC_031768.1	153	49	47	56	42	41	38	38	57	50	33	60	36	41	46	50	46	47	55	46	58
NC_031768.1	154	50	46	56	42	42	37	38	57	50	32	58	37	42	44	50	46	48	55	46	59
NC_031768.1	155	52	46	55	42	42	38	38	56	51	32	58	36	43	43	50	46	49	54	46	60
NC_031768.1	156	52	46	55	42	42	38	39	56	52	32	59	36	43	43	50	46	48	54	47	60
NC_031768.1	157	52	46	55	42	42	38	39	56	51	32	59	37	43	41	49	46	48	51	46	58
NC_031768.1	158	52	44	54	43	42	37	39	57	49	32	60	38	43	40	46	46	48	51	48	59
NC_031768.1	159	52	44	53	44	42	36	39	55	49	32	60	38	43	40	46	46	48	51	48	60
NC_031768.1	160	52	44	52	44	42	36	38	56	49	31	60	38	43	39	46	45	48	51	48	60
NC_031768.1	161	52	44	52	44	42	36	38	55	51	31	59	36	43	39	46	45	48	52	48	60
NC_031768.1	162	52	45	52	44	41	38	39	55	51	31	58	36	43	39	46	46	48	50	48	60
NC_031768.1	163	52	44	51	45	41	37	39	55	50	33	58	37	42	39	47	46	48	51	49	60
NC_031768.1	164	51	45	49	43	42	37	39	55	50	33	58	38	42	40	47	44	48	50	47	60
NC_031768.1	165	51	45	50	43	42	37	40	55	51	33	59	38	42	40	47	46	48	50	45	61
NC_031768.1	166	53	47	50	43	43	37	41	55	52	33	58	38	42	42	47	47	48	50	45	61
NC_031768.1	167	51	47	50	43	43	37	40	54	51	33	58	38	42	43	47	47	47	50	45	60
NC_031768.1	168	50	47	50	42	43	37	40	54	50	33	57	38	42	43	46	46	47	50	46	61
NC_031768.1	169	50	46	49	42	44	37	40	56	52	34	56	37	42	44	47	44	48	50	45	60
NC_031768.1	170	48	44	48	42	42	37	39	56	51	32	56	37	41	44	45	43	50	49	44	59
NC_031768.1	171	47	45	48	42	42	39	39	56	51	31	56	37	41	43	45	44	50	50	45	58
NC_031768.1	172	47	45	48	42	42	40	40	54	51	30	57	37	40	43	45	43	50	51	43	58
NC_031768.1	173	47	45	47	43	42	39	40	54	52	30	56	37	40	42	45	44	50	51	44	55
NC_031768.1	174	47	46	46	42	41	39	40	55	52	30	55	38	39	41	45	44	51	50	45	54
NC_031768.1	175	47	48	48	42	41	40	41	55	52	31	55	41	39	41	44	45	51	49	44	54
NC_031768.1	176	44	48	51	42	41	39	40	55	53	30	54	41	39	41	44	44	51	48	43	54
NC_031768.1	177	42	47	51	42	42	40	41	56	53	32	54	41	39	41	44	44	50	48	42	55
NC_031768.1	178	42	46	51	42	41	40	41	56	53	32	54	41	38	41	46	43	49	48	42	53
NC_031768.1	179	42	45	53	42	41	40	41	58	53	33	56	41	37	41	47	42	49	48	41	53
NC_031768.1	180	43	45	53	42	41	41	41	59	53	33	56	40	37	41	46	42	49	50	41	54
NC_031768.1	181	42	45	55	41	41	42	40	59	52	33	56	41	38	40	46	45	51	51	41	53
NC_031768.1	182	41	44	55	41	41	42	40	59	50	30	56	41	38	40	46	45	51	51	42	52
NC_031768.1	183	42	43	57	41	41	42	41	59	50	30	56	41	38	39	45	44	51	52	42	52
NC_031768.1	184	41	43	56	41	42	41	41	56	50	30	58	41	37	39	45	44	51	52	42	53
NC_031768.1	185	41	43	55	41	42	42	41	56	49	30	58	41	36	39	45	43	50	51	42	52
NC_031768.1	186	41	42	55	39	42	42	40	57	49	31	58	41	36	41	45	44	50	50	42	54
NC_031768.1	187	41	42	55	35	42	42	41	57	50	32	59	42	35	41	45	44	50	52	42	54
NC_031768.1	188	41	42	55	35	42	42	40	56	50	32	60	42	35	42	44	44	50	52	41	55
NC_031768.1	189	41	44	55	36	42	42	40	57	50	32	60	42	36	42	44	45	51	55	41	57
NC_031768.1	190	41	44	55	34	42	44	40	58	50	34	60	42	37	43	43	45	50	56	42	58
NC_031768.1	191	41	45	55	35	42	44	41	59	50	34	59	43	36	43	43	47	50	55	42	58
NC_031768.1	192	41	44	54	36	42	43	41	60	50	34	58	43	37	43	43	45	50	55	41	59
NC_031768.1	193	41	45	54	35	43	43	41	60	50	35	59	44	37	43	43	45	50	55	41	59
NC_031768.1	194	40	44	54	35	43	42	41	60	49	35	56	43	36	44	43	45	50	56	41	59
NC_031768.1	195	41	44	54	35	42	42	41	60	49	35	55	43	36	45	42	45	49	56	41	59
NC_031768.1	196	41	46	55	35	42	43	41	60	50	35	55	42	36	45	42	45	50	56	40	58
NC_031768.1	197	42	46	55	34	42	43	41	60	51	35	55	42	35	45	43	45	50	56	40	60
NC_031768.1	198	41	45	55	33	42	43	41	62	51	35	56	42	34	45	43	45	51	55	40	60
NC_031768.1	199	41	43	54	33	42	43	42	61	51	35	56	42	34	45	42	46	51	55	40	60
NC_031768.1	200	41	44	54	33	41	44	41	61	51	35	56	42	34	45	43	47	52	55	40	60
NC_031768.1	201	41	44	53	33	41	44	41	61	52	34	56	42	34	45	43	48	52	56	40	60
NC_031768.1	202	41	44	53	32	40	44	40	61	52	34	57	44	34	45	42	49	53	56	40	59
NC_031768.1	203	40	42	52	32	40	44	40	62	51	34	57	43	34	45	43	49	53	56	41	60
NC_031768.1	204	40	42	53	31	40	44	40	62	51	34	57	43	34	45	43	48	52	55	41	60
NC_031768.1	205	41	42	52	31	40	44	40	63	50	34	57	43	35	47	42	48	53	56	42	60
NC_031768.1	206	41	44	52	31	40	43	39	64	49	34	59	43	36	47	42	48	54	56	42	60
NC_031768.1	207	41	43	52	30	40	43	39	64	47	34	59	43	36	47	41	47	53	55	42	60
NC_031768.1	208	42	43	52	30	41	43	39	63	46	35	59	44	37	48	41	47	55	56	43	60
NC_031768.1	209	42	44	52	30	41	44	38	64	45	34	59	45	35	48	41	47	56	55	43	60
NC_031768.1	210	41	44	52	31	41	45	39	63	45	33	60	47	35	48	41	46	56	56	42	59
NC_031768.1	211	40	43	52	30	41	46	39	61	45	32	60	47	36	48	41	46	57	56	42	60
NC_031768.1	212	40	43	51	30	41	46	39	59	44	32	60	47	35	48	41	47	57	56	42	59
NC_031768.1	213	40	42	51	30	42	49	39	60	44	32	60	46	35	48	40	47	57	57	42	56
NC_031768.1	214	42	42	51	30	43	50	39	60	46	31	60	46	36	48	40	47	57	56	42	56
NC_031768.1	215	42	41	51	30	43	49	39	60	46	31	60	46	35	48	37	47	57	56	42	56
NC_031768.1	216	42	41	50	32	43	48	39	60	46	31	60	47	35	49	38	47	57	56	42	55
NC_031768.1	217	41	42	49	32	43	47	39	60	47	31	58	47	35	49	38	47	54	55	41	55
NC_031768.1	218	42	43	49	32	43	47	38	60	49	31	57	47	35	50	38	47	54	55	42	55
NC_031768.1	219	43	43	49	32	43	47	38	61	49	31	57	46	36	51	39	47	54	56	41	56
NC_031768.1	220	43	44	49	33	43	47	38	60	48	32	56	46	38	51	39	47	54	54	41	55
NC_031768.1	221	42	44	47	33	43	48	38	58	48	32	56	45	38	50	38	46	54	54	41	55
NC_031768.1	222	41	43	46	33	42	49	38	58	48	32	57	47	39	50	37	47	55	52	41	55
NC_031768.1	223	39	44	46	34	42	49	37	57	48	31	55	47	38	50	36	47	56	51	41	55
NC_031768.1	224	39	43	47	34	42	48	37	57	48	31	54	47	38	49	36	47	55	51	42	54
NC_031768.1	225	38	43	46	34	42	48	37	57	48	31	54	46	38	49	36	48	55	50	42	53
NC_031768.1	226	38	43	46	35	42	48	37	57	49	33	54	46	39	49	36	48	56	50	43	53
NC_031768.1	227	38	44	46	36	42	49	37	57	48	33	54	46	40	49	36	48	55	51	43	53
NC_031768.1	228	39	44	48	36	42	49	37	57	47	33	54	46	40	49	36	48	55	51	43	53
NC_031768.1	229	38	45	48	37	42	49	37	57	48	33	56	45	41	50	36	48	55	52	45	53
NC_031768.1	230	38	45	47	37	42	50	38	57	48	33	57	45	42	51	36	48	55	52	45	51
NC_031768.1	231	38	45	49	36	43	50	38	58	48	33	56	45	42	52	37	47	55	52	45	51
NC_031768.1	232	38	45	50	36	42	51	38	58	48	34	55	45	40	52	37	47	55	53	45	51
NC_031768.1	233	38	47	50	37	42	51	39	57	48	34	55	45	40	51	36	47	55	54	45	51
NC_031768.1	234	38	47	50	37	42	51	39	57	48	35	55	45	41	50	36	47	54	54	45	52
NC_031768.1	235	39	47	50	37	43	49	39	56	47	36	56	44	41	50	39	46	54	51	45	51
NC_031768.1	236	39	47	50	37	43	49	39	57	48	36	57	45	42	50	39	47	56	50	44	53
NC_031768.1	237	39	47	50	38	43	50	39	56	48	35	58	46	42	50	40	48	56	50	44	53
NC_031768.1	238	39	47	49	38	42	50	39	55	48	35	58	47	43	50	40	48	56	50	44	54
NC_031768.1	239	39	47	49	37	42	49	39	55	48	35	58	48	44	50	40	48	56	50	45	54
NC_031768.1	240	38	47	49	37	40	48	40	54	48	35	58	48	44	50	41	46	56	50	45	54
NC_031768.1	241	37	47	50	37	40	48	40	53	46	35	58	49	43	49	41	48	56	50	45	53
NC_031768.1	242	37	47	49	38	40	49	41	53	46	35	58	49	43	49	41	49	55	50	44	54
NC_031768.1	243	37	47	50	38	40	49	41	54	46	35	59	51	43	49	41	49	55	50	44	54
NC_031768.1	244	37	46	51	38	39	48	41	54	46	35	59	51	42	49	41	48	56	50	45	54
NC_031768.1	245	37	44	51	37	39	48	42	54	46	35	59	51	41	49	41	48	56	50	45	56
NC_031768.1	246	37	42	51	37	39	49	41	55	46	34	60	51	41	49	41	48	56	50	44	57
NC_031768.1	247	37	43	52	36	39	49	41	54	47	34	60	52	41	50	41	48	57	53	43	58
NC_031768.1	248	37	43	52	35	39	49	41	54	46	34	60	53	41	50	42	48	57	53	43	59
NC_031768.1	249	37	43	51	36	39	49	41	54	46	34	60	52	41	49	44	48	57	53	42	59
NC_031768.1	250	37	42	51	36	38	49	42	54	48	34	59	53	41	48	44	48	57	53	42	59
NC_031768.1	251	36	42	51	37	38	48	43	53	48	33	62	53	42	47	45	48	56	51	42	58
NC_031768.1	252	35	42	51	37	38	48	44	53	48	33	62	53	42	46	45	48	56	51	41	58
NC_031768.1	253	35	42	51	36	39	49	44	54	49	33	61	53	41	46	45	49	56	51	41	58
NC_031768.1	254	36	42	51	36	40	49	43	55	48	33	60	52	40	46	45	48	56	51	41	57
NC_031768.1	255	36	41	51	36	39	49	43	52	47	33	60	52	41	47	45	47	54	50	41	57
NC_031768.1	256	34	41	52	36	39	48	43	52	47	34	60	51	41	47	44	47	54	50	41	58
NC_031768.1	257	33	41	53	37	40	48	43	50	48	32	60	49	41	47	43	46	53	50	42	58
NC_031768.1	258	33	41	53	38	40	48	43	50	48	32	60	49	41	46	43	46	53	50	43	58
NC_031768.1	259	33	42	54	38	39	48	43	50	48	31	59	49	41	45	43	45	54	50	43	58
NC_031768.1	260	33	42	53	38	39	47	42	50	48	31	59	49	39	46	45	45	53	51	43	58
NC_031768.1	261	32	42	54	38	40	47	41	50	47	31	59	49	39	46	46	46	54	51	43	59
NC_031768.1	262	33	42	54	39	40	47	42	50	47	31	58	50	39	46	46	47	54	51	43	59
NC_031768.1	263	33	42	55	39	39	48	42	51	47	31	58	50	39	46	47	47	54	51	43	59
NC_031768.1	264	33	41	55	39	39	47	42	52	47	31	58	48	39	46	47	48	55	51	43	59
NC_031768.1	265	33	40	56	40	37	47	42	51	48	32	57	48	39	46	47	49	54	51	43	59
NC_031768.1	266	33	40	56	40	38	47	40	51	47	32	57	48	39	46	44	49	54	51	44	59
NC_031768.1	267	33	40	57	40	38	47	38	50	48	32	57	48	39	47	44	50	52	51	43	59
NC_031768.1	268	33	40	57	41	38	45	37	50	48	32	56	48	41	48	43	50	52	51	43	60
NC_031768.1	269	33	40	57	41	38	45	37	50	48	33	56	47	42	48	41	50	52	50	43	60
NC_031768.1	270	33	39	57	41	37	45	39	49	47	34	55	47	43	46	40	51	51	50	42	59
NC_031768.1	271	34	39	56	41	38	44	38	49	48	34	55	47	43	46	40	51	51	50	42	59
NC_031768.1	272	34	38	56	42	38	43	37	50	47	34	55	47	44	46	41	51	51	50	42	60
NC_031768.1	273	35	39	55	41	38	43	37	50	48	34	53	46	44	46	40	51	51	50	42	60
NC_031768.1	274	35	39	56	41	38	43	37	50	49	34	53	46	44	46	40	52	51	50	41	60
NC_031768.1	275	35	36	56	42	38	44	37	50	50	34	54	46	44	47	40	52	52	51	41	61
NC_031768.1	276	37	36	56	43	38	45	37	49	49	35	54	46	43	46	40	52	52	50	40	62
NC_031768.1	277	37	36	56	41	37	45	37	48	48	34	55	47	43	46	39	53	53	49	40	63
